HARPNUM,NOAA,Class,Time,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,R_VALUE,ABSNJZH
5298,12297,M1.6,2015.03.11_11:50_TAI,2.37173E+22,106.437,0.04613017,15911.99,43.291,3116.846,69.255,0.08805357,51.707,118.725,0.26296473,5.17031E+13,5.6382E+13,7.36782E+23,44.177,1350.246338,4.978,1608.328
5298,12297,M1.4,2015.03.11_12:14_TAI,2.37154E+22,105.847,0.04707745,16196.66,44.181,3200.725,69.339,0.08871289,52.075,119.343,0.27048209,5.20731E+13,5.6495E+13,7.46113E+23,44.476,1352.061646,5.005,1632.929
5298,12297,M4.2,2015.03.11_14:08_TAI,2.41822E+22,105.124,0.04719947,16511.05,44.186,3361.771,70.186,0.0895184,52.372,117.728,0.27709234,5.44179E+13,6.25825E+13,7.81493E+23,44.754,1382.05249,4.977,1682.142
5298,12297,M2.7,2015.03.11_21:51_TAI,2.5434E+22,109.386,0.05830004,18959.68,44.39,3894.999,77.205,0.09833068,52.999,123.545,0.17521118,5.61042E+13,6.60948E+13,8.97592E+23,44.635,1385.953735,5.064,2078.28
5298,12297,M1.2,2015.03.12_04:01_TAI,2.58534E+22,110.163,0.0618707,21060.15,47.782,4241.828,79.692,0.09910719,54.518,126.409,0.28344649,5.78201E+13,6.70399E+13,9.89453E+23,46.101,1367.356323,5.102,2188.676
5298,12297,M1.3,2015.03.13_04:40_TAI,2.31825E+22,109.689,0.06012075,18239.88,48.519,3571.779,79.114,0.10877275,56.193,120.277,0.23874843,5.19085E+13,6.18951E+13,8.35246E+23,46.996,1389.48938,4.92,2072.963
5298,12297,M1.0,2015.03.14_09:40_TAI,2.35295E+22,112.708,0.04675806,15164.98,42.746,3055.749,74.337,0.08727562,52.717,119.878,0.37501171,4.64344E+13,5.247E+13,6.92023E+23,43.245,1431.439941,4.852,1606.607
5298,12297,M1.2,2015.03.14_23:22_TAI,2.75688E+22,104.879,0.03905259,11981.09,40.855,3397.321,64.984,0.08797835,50.573,111.685,0.35452622,5.71901E+13,5.86951E+13,7.14073E+23,42.532,1412.157959,4.692,1752.563
5298,12297,M1.6,2015.03.15_10:58_TAI,2.77225E+22,105.59,0.02851996,11941.94,39.13,2877.018,61.962,0.0617587,48.644,111.511,0.32043982,4.92268E+13,3.62093E+13,6.70076E+23,41.082,1400.352905,4.823,1204.911
5415,12320,M1.4,2015.04.07_14:43_TAI,1.6735E+22,113.766,0.00787489,5093.959,23.643,1475.78,61.431,0.02706918,43.104,115.254,0.22044127,3.24595E+13,1.20238E+13,2.01036E+23,33.83,1251.948486,4.156,234.018
5446,12322,M1.0,2015.04.20_07:21_TAI,8.38844E+21,89.632,-0.0105154,2454.757,9.939,436.3,39.498,-0.02947941,30.523,94.18,-0.27653337,8.62831E+12,5.84189E+12,4.00168E+22,24.274,151.323227,3.628,129.055
5446,12322,M2.2,2015.04.20_11:57_TAI,1.23055E+22,93.395,-0.01229435,3101.799,13.047,740.589,42.186,-0.02984137,33.333,99.204,-0.05220507,1.31286E+13,1.03181E+13,7.04734E+22,26.019,252.85733,3.72,210.332
5447,12325,M1.2,2015.04.20_22:01_TAI,5.06813E+22,96.743,-0.0049745,4092.798,17.343,3003.038,43.537,-0.01637425,36.165,97.627,0.25970742,6.7635E+13,1.39533E+13,4.5876E+23,30.243,2143.303955,4.053,419.843
5526,12335,M1.3,2015.05.04_14:25_TAI,2.64906E+22,100.319,0.00538627,7834.177,39.427,2207.644,60.568,0.01429537,49.472,103.763,0.15421073,4.90734E+13,8.68465E+12,4.6288E+23,42.338,1241.187988,4.561,239.63
5526,12335,M2.6,2015.05.04_17:24_TAI,2.52456E+22,105.354,0.0058018,8447.712,40.166,2233.84,65.211,0.01411596,49.804,109.442,0.1241921,4.679E+13,9.5877E+12,4.50979E+23,42.409,1263.797485,4.498,233.215
5637,12360,M1.3,2015.06.12_07:29_TAI,5.69974E+22,82.488,0.00128533,3897.788,12.1,2835.275,37.319,0.00383563,31.916,87.984,-0.03162351,5.65386E+13,1.70352E+12,4.48994E+23,26.183,1631.55188,4.462,111.481
5692,12371,M1.0,2015.06.19_06:48_TAI,5.03032E+22,84.406,-0.01005872,18649.46,51.975,3790.262,56.851,-0.01494257,53.73,95.842,-0.13598129,6.6952E+13,2.35747E+13,1.58615E+24,47.933,1852.075806,4.995,644.16
5673,12367,M3.8,2015.06.20_09:44_TAI,4.3412E+22,109.424,0.00573801,5334.497,18.022,2990.72,52.363,0.01446581,36.47,114.836,-0.02510257,5.85744E+13,2.13346E+13,4.42856E+23,31.039,1728.649536,4.532,358.677
5673,12367,M1.1,2015.06.20_18:20_TAI,4.86086E+22,99.811,0.00432562,4426.653,15.156,2896.809,45.61,0.0119043,34.685,104.311,-0.0543315,5.94787E+13,2.03521E+13,4.29317E+23,29.415,1616.292358,4.443,315.878
